NOMBRE ESTACION,Moravia,Universidad,Ruta N,Robledo,Campus Nacional,Dian Alpujarra,Distrito Creativo,Plaza de La Libertad,Parque de Las Luces II,Pies Descalzos I,Area Metropolitana,Plaza Mayor,Parque de Las Luces I,Pies Descalzos II,Málaga,Palacé,Museo de Antioquia,San Antonio,Parque Berrio,Palacio de la Cultura,SIU-UdeA,Primer Parque de Laureles,Otra Banda,Parque San Joaquín,Florida Nueva,Cacique Candela,María Mulata,Circular Primera,Batallón,Calle 51 Los Colores,Segundo Parque de Laureles,San Joaquín,Orquídeas,Santa Teresita,La 65,San Pedro y San Pablo,Parque de Los Mangos,Pedro Nel Gómez,Estadio,Suramericana,Colombia,San Juan,UPB,Los Colores,Floresta,Parque de los Enamorados,Salazar y Herrera,Unicentro,Calle 19A Villa Carlota,Politécnico,Telemedellín,Industriales Metro,MAMM,Río Aburrá,Villa Carlota,Ciudad del Río,Industriales Metroplús,Nutibara,Juan Pablo II,Picacha la 76,Parques del río,La 33,Rosales,Maria Luisa Calle,Unidad Deportiva de Belén,Bulerias,Cafetero,Metro Envigado Sur,Metro Envigado Norte,Auxiliar Metro Envigado,La Ultima Estación,Pista de Patinaje,Villas de Vallejuelos,Iglesia Alcalá,Los Urapanes,Parque Débora Arango,Porton de Alcalá,El MUA,Viva Envigado,Guanteros,Envigado Centro,Puente fundadores,Sabaneta Metro,Las Vegas 69 Sur,Santa Ana,Calle Nueva,La Barquereña,Entre amigos,Sabaneta Centro,Aves María,Biblioteca Sabaneta,Parque 4 Elementos,Puente de la 77 Sur,Metro Itaguí I,Metro Itaguí II,Bahía Ciclovia,Ideas,Parque Itaguí,Metróplus Cami,Doña María,Los Naranjos,Villa Paula,Parque el Artista,Puente pan de Queso I,Puente pan de Queso II,Metro Bello,Parque Bello,Paraná,San Cayetano
Moravia,0.0,4.401530221882172,6.229074215761286,15.278194338179036,14.803519510328996,18.15700076511094,23.75944912012242,19.80504973221117,16.90558530986993,19.963427697016066,19.08018362662586,19.51675592960979,16.64024483550115,19.963427697016066,16.36205049732211,21.944758990053558,13.304667176740626,15.860290742157614,14.354552410099465,13.908798775822495,8.936648814078042,26.937107880642692,16.294108645753635,23.57352716143841,22.58240244835501,28.91293037490436,25.683856159143076,27.766182096403977,22.595256312165265,21.0486610558531,28.752257077276205,23.70114766641163,21.07850038255547,29.494108645753634,20.341698546289216,24.145065034429994,22.178423871461362,28.385003825554705,21.41086457536343,18.57796480489671,16.29089517980107,23.21866870696251,25.34001530221882,18.241928079571537,24.35761285386381,18.59311400153022,18.798316755929612,25.786687069625096,31.17796480489671,35.66947207345065,32.00979342004591,25.15822494261668,28.365723029839327,26.086916602907422,30.173527161438408,30.089977046671773,26.287987758224943,27.646365723029838,36.12624330527927,32.274674827850035,21.34292272379495,26.335730680948735,31.03932670237184,39.19280795715379,29.609793420045907,27.34843152257077,26.71721499617444,58.91660290742158,58.07192042846213,59.22188217291507,58.063657230298396,59.00428462127009,60.15424636572303,58.7876052027544,56.689671002295334,57.728538638102535,59.33940321346596,58.61729150726855,54.172609028309104,59.325172149961745,58.72058148431522,56.914613618974755,71.70160673297629,72.52976281560827,71.9724560061209,76.014078041316,73.17199693955624,75.10374904361133,74.84345830145371,76.40887528691661,74.792960979342,72.44162203519511,76.2344299923489,65.04468247895944,65.04468247895944,62.92012241775058,61.89043611323642,60.463657230298395,60.53297628156083,58.74491201224178,60.785003825554696,58.85692425401683,55.49793420045906,58.2867635807192,58.48691660290742,32.41469013006886,32.30221882172915,73.43917368018363,75.47054322876816
Universidad,0.0,0.0,2.2769701606732977,16.27069625095639,11.062127008416219,14.232440703902066,19.834889058913543,16.098087222647283,12.981025248661055,16.256924254016834,15.156082631981636,15.809793420045908,12.716143840856924,16.256924254016834,12.437949502677888,18.020657995409337,9.380566182096404,11.935730680948737,10.430451415455241,9.98423871461362,5.012547819433818,23.628156082631982,12.587605202754398,20.15210405508799,19.349196633511855,25.60397857689365,22.450650344299923,24.05416985462892,21.20061208875287,21.37689364957919,25.44330527926549,19.95975516449885,18.297475133894416,26.185156847742924,17.108033664881408,21.611017597551648,18.437031369548585,25.07605202754399,18.177658760520274,15.344758990053558,13.245447589900536,19.801836266258608,21.953940321346593,15.204743687834736,23.088293802601378,15.552716143840858,15.76113236419281,22.045294567712318,27.253404743687835,31.744912012241777,28.08523335883703,21.233664881407805,24.441162968630454,22.162815608263198,26.249426166794184,26.165876052027542,22.363427697016068,23.939403213465955,32.38485080336649,28.53328232593726,17.635960214231062,22.628768171384852,27.297934200459064,35.45141545524101,25.90283091048202,23.607039020657993,23.010711553175213,54.99250191277736,54.147360367253256,55.29778117827085,54.13909716908952,55.08018362662586,56.230145371078805,54.86350420811018,52.765110941086455,53.80397857689365,55.41530221882173,54.69319051262433,50.24804896710024,55.40061208875287,54.796021423106346,52.99051262433053,67.9946442234124,68.60566182096403,68.04789594491201,72.08997704667176,69.24743687834736,71.17964804896711,70.91889824024483,72.48431522570773,70.86885998469778,68.51706197398623,72.527467482785,61.337719969395565,61.337719969395565,59.21315990818668,58.183473603672525,56.7566947207345,56.82601377199694,55.03794950267789,57.078041315990816,55.149961744452945,51.79097169089518,54.58026013771997,54.5628156082632,36.24330527926549,36.130833970925785,69.73221117061975,71.76403978576894
Ruta N,0.0,0.0,0.0,16.350114766641163,9.158837031369549,11.95592960979342,17.558377964804897,14.105738332058147,10.70451415455241,14.264116296863044,12.879112471308341,13.81698546289212,10.439173680183625,14.264116296863044,10.160979342004591,15.743687834736036,7.103596021423106,9.659219586840091,8.153481254781944,7.707727620504973,2.7355776587605205,21.692731446059675,10.594797245600612,18.217138485080337,17.356388676358073,23.669013006885997,20.457842387146133,22.119204284621272,19.297322111706197,19.473603672532516,23.50788064269319,18.0247895944912,16.394185156847744,24.24973221117062,15.11522570772762,19.707727620504972,16.50160673297628,23.14108645753634,16.184850803366487,13.35195103289977,11.342157612853864,17.866411629686304,20.018515684774293,13.301453710788063,21.185003825554706,13.649426166794186,13.857842387146135,20.110328997704666,24.97689364957919,29.468400918133128,25.808722264728384,18.95715378729916,22.164651874521805,19.8858454475899,23.972456006120886,23.88890589135425,20.086916602907426,21.947054322876816,30.449426166794183,26.597857689364954,15.643152257077276,20.635960214231062,25.362968630451412,33.51644988523336,23.910482019892886,21.672073450650345,21.01790359602142,52.715531752104056,51.870849273144614,53.02081101759755,51.862127008416216,52.80321346595256,53.953175210405504,52.58653404743688,50.48859984697781,51.527467482785006,53.13833205814843,52.41622035195103,47.971537872991576,53.12410099464422,52.519510328997704,50.713542463657234,66.00183626625861,66.32869166029074,65.77138485080337,69.81300688599848,66.97092578423872,68.9026778882938,68.6423871461362,70.20780413159909,68.59188982402448,66.24055087987759,70.36710022953328,59.34491201224177,59.34491201224177,57.220811017597555,56.1911247130834,54.76434583014537,54.833205814843154,53.0451415455241,55.08569242540168,53.15715378729916,49.798622800306035,52.47452180566182,52.2858454475899,38.2921193573068,38.18010711553175,67.7398622800306,69.77123182861516
Robledo,0.0,0.0,0.0,0.0,12.094108645753634,21.001836266258607,25.874368783473603,20.29257842387146,19.81973986228003,19.833511859219584,21.05141545524101,20.004284621270084,19.561744452945675,19.833511859219584,19.981790359602144,24.057842387146138,18.6362662586075,19.619586840091817,18.62019892884468,19.0168324407039,17.81866870696251,16.526396327467484,12.13955623565417,16.969395562356542,13.15822494261668,17.971537872991586,13.75087987758225,18.78867635807192,7.35700076511094,5.809946442234123,17.22601377199694,18.36266258607498,7.376740627390972,18.577046671767405,15.008722264728384,8.90680948737567,17.05937260902831,15.725784238714612,12.255241009946442,13.244988523335882,11.052945677123182,14.319663351185923,16.39280795715379,8.30680948737567,9.118898240244835,10.55026778882938,8.076358071920428,20.773221117061976,33.48661055853099,37.27574598316755,33.616067329762814,26.76449885233359,29.971996939556234,27.693649579188982,31.78026013771997,31.696250956388678,26.26870696250956,24.041315990818667,30.004131599081866,24.02708492731446,18.23550114766641,21.85937260902831,24.917674062739096,33.07115531752104,24.488905891354246,21.180872226472836,21.687222647283857,58.2982402448355,57.83917368018363,58.603519510328994,59.6699311400153,60.61101759755165,61.76052027543994,60.3938791124713,58.29594491201224,59.33481254781944,60.946136189747506,60.22402448355011,55.77888293802601,60.931446059678656,60.326855394032144,58.52088752869166,70.59709257842387,72.23550114766641,72.58209640397857,76.39418515684774,73.94506503442999,74.97934200459068,75.45263963274675,77.01805661820963,75.17306809487376,73.05126243305278,75.12991583779647,63.94016832440703,63.94016832440703,61.81606732976282,60.785921958684014,59.35914307574598,59.428462127008416,57.640397857689365,59.68048967100229,57.75241009946442,54.39342004590666,57.18270849273144,57.658301453710784,42.65692425401683,42.54445294567712,72.33511859219587,74.36648814078042
Campus Nacional,0.0,0.0,0.0,0.0,0.0,12.506809487375671,17.379801071155317,11.798010711553175,11.325172149961745,11.356388676358073,12.556388676358072,11.509257842387147,11.067176740627392,11.356388676358073,11.487222647283858,15.56327467482785,10.14123947972456,11.125019127773527,10.125631216526395,10.522264728385617,10.534200459066563,13.228921193573068,3.4177505738332057,9.865340474368782,8.874215761285386,15.204743687834736,11.97566947207345,14.057995409334355,10.601224177505738,10.777505738332056,15.044070390206578,9.998928844682478,7.697628156082631,15.785921958684007,6.6335118592195865,11.011629686304513,8.684162203519511,14.676817138485081,7.7026778882938025,4.869778117827085,2.6134659525631214,9.510482019892883,11.631828615149196,4.605355776587605,12.488446824789595,4.931293037490436,5.161285386381024,12.51369548584545,24.992042846212705,28.781178270849274,25.12149961744453,18.269931140015302,21.47742922723795,19.198622800306044,23.28523335883703,23.201683244070395,17.77413925019128,15.665646518745216,22.551644988523336,18.66656465187452,9.758377964804895,13.484162203519512,17.464728385615913,25.618209640397858,16.30558530986993,13.773833205814844,13.503442999234888,49.9230298393267,49.463963274674825,50.2283091048202,51.17536342769702,52.116449885233365,53.26595256312166,51.899311400153024,49.80137719969396,50.84024483550115,52.45110941086458,51.72945677123183,47.28431522570773,52.43687834736036,51.832287681713844,50.02631981637337,62.221882172915066,63.859831675592964,64.20642693190513,68.01897475133893,65.56939556235655,66.60413159908187,67.07742922723796,68.64284621270085,66.7973986228003,64.67559296097934,66.75470543228768,55.56495791889824,55.56495791889824,53.44039785768936,52.410711553175204,50.98393267023718,51.05325172149962,49.26518745218057,51.305279265493496,49.377199693955625,46.018209640397856,48.80703902065799,49.28263198163734,42.5522570772762,42.44024483550115,63.95944912012242,65.99081866870696
Dian Alpujarra,0.0,0.0,0.0,0.0,0.0,0.0,6.016067329762816,2.520275439938791,1.9133894414690131,5.230145371078806,1.2298393267023717,2.3366488140780413,1.890895179801071,5.230145371078806,3.201071155317521,4.201836266258607,4.904667176740627,3.130833970925784,4.554858454475899,4.999693955623565,10.1752104055088,13.865187452180566,9.745065034429993,10.362968630451416,12.597245600612087,14.976128538638102,13.397857689364958,13.536495791889823,18.58990053557766,18.796480489671,15.562815608263199,9.97459831675593,17.02815608263198,15.212088752869164,7.479571537872991,16.410252486610556,8.484927314460595,15.313083397092576,12.019739862280032,9.580719204284621,10.785768936495792,10.02325937260903,11.994032134659525,13.517214996174445,17.78194338179036,12.79831675592961,14.492272379495027,9.358990053557765,13.522723794950268,17.91966335118592,14.259525631216526,7.408416220351951,10.615455241009947,8.337107880642694,12.423718439173681,12.340168324407038,8.537719969395562,10.986840091813313,19.840856924254016,16.5061973986228,5.64009181331293,9.06335118592196,15.072991583779649,22.928538638102527,12.748737566947208,11.382096403978577,9.444835501147667,41.166794185156846,40.321652639632745,41.47207345065034,40.31338944146901,41.25447589900536,42.40443764345831,41.037796480489675,38.93940321346595,39.978729915837796,41.589594491201225,40.86748278500382,36.42280030604438,41.57536342769701,40.970772762050494,39.16480489671002,54.62065799540934,54.779954093343534,54.222647283856155,58.26426931905126,55.42172915072686,57.3539403213466,57.09319051262433,58.65906656465187,57.043152257077274,54.69181331293038,58.81836266258608,47.9637337413925,47.9637337413925,45.83963274674828,44.80994644223413,43.3831675592961,43.45202754399388,41.66396327467483,43.70451415455241,41.776434583014534,38.41744452945677,40.92578423871461,40.73710788064269,50.16863045141546,50.056159143075746,56.35868400918133,58.390053557765874
Distrito Creativo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.210252486610558,7.397857689364957,8.981637337413925,5.767712318286152,5.825554705432288,7.375363427697016,8.981637337413925,8.117214996174445,1.9161438408569242,10.3831675592961,8.006579954093343,9.41178270849273,9.849273144605968,15.613771996939555,15.560061208875286,14.572149961744454,12.682172915072686,16.71369548584545,15.531140015302217,17.514307574598316,14.091966335118592,23.146136189747516,23.414690130068863,16.117827084927313,11.151185921958684,21.64636572302984,15.767559296097934,11.59602142310635,20.526702371843918,10.711400153022188,16.409334353481256,16.13618974751339,13.69716908951798,15.4159143075746,14.075899005355776,13.061361897475132,18.135424636572303,21.89839326702372,16.91476664116297,19.110022953328237,9.914460596786533,8.55883703136955,14.05248661055853,9.958071920428463,3.38194338179036,6.748737566947208,4.361591430757461,8.55654169854629,8.405049732211172,4.671002295332823,7.303289977046672,16.371690895179803,15.995715378729917,7.969854628921194,9.618362662586074,11.70114766641163,19.459831675592962,9.882325937260902,11.937566947207346,10.000306044376435,37.29961744452946,36.454934965570004,37.604896710022956,36.44667176740628,37.387758224942615,38.53726090283091,37.170619739862275,35.07268553940321,36.1115531752104,37.72241775057383,37.00076511094109,32.55562356541699,37.70818668706963,37.10359602142311,35.29762815608263,50.75394032134659,50.91277735271615,50.35547054322877,54.39709257842387,51.55501147666412,53.486763580719206,53.22647283856159,54.79188982402449,53.17597551644988,50.82463657230298,54.95118592195868,44.09701606732976,44.09701606732976,41.97245600612089,40.942769701606736,39.515990818668705,39.58530986993114,37.79724560061209,39.83733741392501,37.90925784238714,34.55026778882937,37.05860749808723,36.870390206579955,55.58653404743688,55.47406273909717,52.49150726855394,54.52287681713849
Plaza de La Libertad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.546442234123948,4.205508798775822,0.892425401683244,1.7857689364957918,2.8113236419280794,4.205508798775822,4.289058913542464,5.039173680183627,5.992654934965571,4.218821729150727,5.642846212700842,6.087681713848507,11.26319816373374,13.250038255547055,9.31354246365723,9.746901300688599,12.044988523335885,14.459678653404744,12.845600612088752,13.020045906656465,18.158837031369547,18.36541698546289,15.046365723029838,9.42371843917368,16.597092578423872,14.695638867635806,6.9273144605967865,15.857995409334354,7.934506503443,14.697934200459066,11.467482785003826,9.028462127008417,10.354705432287682,9.407192042846212,11.443152257077275,13.086151491966334,17.229686304514154,12.246059678653404,14.060749808722266,8.842999234889058,14.364651874521805,18.679877582249425,15.020198928844682,8.168630451415456,11.376128538638103,9.097322111706196,13.183932670237185,13.100382555470542,9.298393267023718,10.721499617444529,19.32440703902066,15.989747513389442,5.089211935730681,8.5469013006886,14.55654169854629,22.412088752869167,12.232287681713848,10.86564651874522,8.928385615914308,41.92700841622035,41.082325937260904,42.23228768171385,41.074062739097165,42.01514919663351,43.16465187452181,41.798010711553175,39.70007651109411,40.7389441469013,42.34980872226473,41.62815608263198,37.18301453710788,42.33557765876052,41.730986993114,39.925019127773524,55.38133129303748,55.540168324407034,54.98286151491966,59.02494261667942,56.182402448355006,58.114154552410106,57.853863810252484,59.41928079571538,57.803366488140774,55.45202754399387,59.57857689364958,48.724407039020655,48.724407039020655,46.59984697781178,45.57016067329763,44.1433817903596,44.21270084162204,42.42463657230299,44.46472838561591,42.53664881407804,39.17765876052028,41.68599846977812,41.49778117827085,50.5955623565417,50.483091048201985,57.11889824024483,59.15026778882938
Parque de Las Luces II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.609487375669472,2.917827084927315,3.896097934200459,0.2648814078041316,4.609487375669472,2.059831675592961,5.782861514919664,3.751032899770467,1.9895944912012242,3.4136189747513392,3.858454475899005,9.021576128538639,12.878194338179036,8.24529456771232,9.376434583014538,11.610711553175209,14.854475899005356,12.41132364192808,13.39372609028309,17.090589135424636,17.29716908951798,14.6938026013772,9.299311400153021,15.528844682478958,15.435654169854628,6.493037490436114,15.423718439173683,7.776128538638103,14.326549349655702,11.033205814843152,8.594185156847741,9.286457536342771,9.03672532517215,11.177811782708494,12.017903596021423,16.795409334353483,11.330221882172914,12.992501912777351,10.852792654934964,15.015608263198164,19.507115531752106,15.84743687834736,8.995868400918134,12.203366488140782,9.924560061208876,14.011170619739863,13.927620504973222,10.125631216526395,12.192807957153788,21.247895944912013,17.872379495026777,5.9540933435348125,10.656771231828616,16.577352716143842,24.336036725325172,14.156235654169855,12.946595256312165,11.038714613618975,42.75424636572302,41.90956388676358,43.059525631216516,41.90130068859985,42.84238714613619,43.99188982402448,42.625248661055856,40.52731446059679,41.56618209640398,43.17704667176741,42.45539403213466,38.010252486610554,43.162815608263195,42.55822494261668,40.752257077276205,56.20856924254017,56.36740627390972,55.81009946442234,59.85172149961745,57.009640397857694,58.94139250191277,58.681101759755165,60.24651874521806,58.63060443764346,56.27926549349656,60.405814843152264,49.551644988523336,49.551644988523336,47.42708492731447,46.39739862280031,44.97061973986228,45.03993879112471,43.25187452180566,45.291966335118595,43.363886763580716,40.004896710022955,42.513236419280794,42.32501912777353,49.0149961744453,48.90252486610559,57.94613618974751,59.97750573833206
Pies Descalzos I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.647283856159143,2.481254781943382,3.659219586840092,,5.408722264728386,6.663351185921958,7.062739097169089,5.33848508033665,6.762050497322112,7.20734506503443,12.04407039020658,11.732364192807957,8.905891354246366,8.229686304514155,10.527773527161438,13.708645753634276,11.328385615914307,12.24697781178271,16.960214231063503,17.22876817138485,13.54797245600612,8.152563121652639,15.460443764345833,14.28982402448355,5.410099464422341,14.340780413159909,6.62938026013772,13.180719204284621,9.950267788829379,7.51124713083397,9.230451415455242,7.889977046671767,10.03106350420811,11.949502677888294,15.712471308339707,10.72884468247896,12.924100994644224,8.90956388676358,16.09211935730681,19.881254781943383,16.221117061973985,9.37000765110941,12.577046671767405,10.298699311400155,14.385309869931138,14.3017597551645,9.459984697781177,10.738944146901302,19.794491201224176,16.514919663351186,4.010864575363428,9.258454475899006,15.081713848508036,22.882172915072687,12.70237184391737,11.390818668706963,9.635348125478194,42.49533282325937,41.78882938026014,42.80107115531752,42.27498087222647,43.216067329762815,44.36602907421576,42.99938791124713,40.90145371078806,41.940321346595255,43.551185921958684,42.82907421576129,38.38439173680183,43.53695485845447,42.93236419280796,41.12639632746748,54.79418515684774,56.43259372609028,56.18423871461361,60.22586074980873,57.38332058148431,59.17643458301454,59.05524100994644,60.620657995409346,59.00474368783474,56.65340474368784,59.32700841622035,48.13726090283091,48.13726090283091,46.01315990818669,44.98301453710788,43.55623565416985,43.62555470543229,41.837490436113235,43.87804131599082,41.94950267788829,38.59051262433052,41.37980107115531,41.85539403213466,50.187452180566176,50.074980872226476,56.53221117061974,58.56358071920429
