NOMBRE ESTACION,Moravia,Universidad,Ruta N,Robledo,Campus Nacional,Dian Alpujarra,Distrito Creativo,Plaza de La Libertad,Parque de Las Luces II,Pies Descalzos I,Area Metropolitana,Plaza Mayor,Parque de Las Luces I,Pies Descalzos II,Málaga,Palacé,Museo de Antioquia,San Antonio,Parque Berrio,Palacio de la Cultura,SIU-UdeA,Primer Parque de Laureles,Otra Banda,Parque San Joaquín,Florida Nueva,Cacique Candela,María Mulata,Circular Primera,Batallón,Calle 51 Los Colores,Segundo Parque de Laureles,San Joaquín,Orquídeas,Santa Teresita,La 65,San Pedro y San Pablo,Parque de Los Mangos,Pedro Nel Gómez,Estadio,Suramericana,Colombia,San Juan,UPB,Los Colores,Floresta,Parque de los Enamorados,Salazar y Herrera,Unicentro,Calle 19A Villa Carlota,Politécnico,Telemedellín,Industriales Metro,MAMM,Río Aburrá,Villa Carlota,Ciudad del Río,Industriales Metroplús,Nutibara,Juan Pablo II,Picacha la 76,Parques del río,La 33,Rosales,Maria Luisa Calle,Unidad Deportiva de Belén,Bulerias,Cafetero,Metro Envigado Sur,Metro Envigado Norte,Auxiliar Metro Envigado,La Ultima Estación,Pista de Patinaje,Villas de Vallejuelos,Iglesia Alcalá,Los Urapanes,Parque Débora Arango,Porton de Alcalá,El MUA,Viva Envigado,Guanteros,Envigado Centro,Puente fundadores,Sabaneta Metro,Las Vegas 69 Sur,Santa Ana,Calle Nueva,La Barquereña,Entre amigos,Sabaneta Centro,Aves María,Biblioteca Sabaneta,Parque 4 Elementos,Puente de la 77 Sur,Metro Itaguí I,Metro Itaguí II,Bahía Ciclovia,Ideas,Parque Itaguí,Metróplus Cami,Doña María,Los Naranjos,Villa Paula,Parque el Artista,Puente pan de Queso I,Puente pan de Queso II,Metro Bello,Parque Bello,Paraná,San Cayetano
Area Metropolitana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,613.1,941.5,898.5,908.2,1269.6,883.2,1193.4,1290.3,2417.7,2849.6,2131.6,2007.9,2738.3,3012.9,2912.7,2699.4,4058.4,4103.4,3140.7,1917.8,3718.2,3064.4,1623.5,3568.9,1593.4,3177.3,2612.5,2081.2,2358.4,2163.7,2357.7,2953.4,3867.7,2782.1,3165.7,1789.4,2938.6,3896.4,3099.1,1606.7,2305.3,1809.0,2699.2,2681.0,1852.7,2198.6,4072.6,3346.2,973.6,1724.9,3034.1,4745.3,2527.8,2230.1,1808.1,8960.4,8776.3,9026.9,8774.5,8979.5,9230.0,8932.3,8475.2,8701.6,9052.5,8895.2,7927.0,9049.4,8917.7,8524.3,11891.2,11925.8,11804.4,12684.8,12065.6,12486.5,12429.8,12770.8,12418.8,11906.6,12805.5,10441.0,10441.0,9978.3,9754.0,9443.2,9458.2,9068.8,9513.2,9093.2,8361.5,8907.9,8866.8,11124.2,11099.7,12269.7,12712.2
Plaza Mayor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.3,687.5,1152.5,925.2,1523.6,1137.2,1447.4,1544.3,2671.7,2614.8,2049.4,1773.0,2484.3,2798.7,2658.7,2485.1,3885.6,3944.0,2926.5,1682.9,3558.8,2850.1,1369.5,3314.9,1358.5,2942.5,2358.5,1827.2,2201.7,1909.7,2122.8,2794.0,3613.7,2528.1,3006.4,1569.3,2979.1,3804.5,3007.3,1514.8,2213.5,1717.2,2607.3,2589.1,1760.9,1984.4,3858.4,3132.0,738.7,1510.7,2819.8,4531.0,2313.5,2015.8,1593.8,8868.5,8684.5,8935.0,8682.7,8887.7,9138.1,8840.4,8383.4,8609.7,8960.6,8803.4,7835.1,8957.5,8825.8,8432.4,11799.3,11833.9,11712.5,12593.0,11973.8,12394.7,12337.9,12678.9,12326.9,11814.7,12713.6,10349.2,10349.2,9886.4,9662.1,9351.3,9366.4,8976.9,9421.3,9001.3,8269.6,8816.0,8775.0,11042.0,11017.5,12177.8,12620.4
Parque de Las Luces I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1061.8,391.0,1254.8,759.3,375.7,685.9,782.8,1907.5,2863.0,1740.0,2100.1,2586.9,3293.5,2761.3,2975.3,3666.8,3711.8,3258.4,2083.4,3326.6,3420.1,1472.1,3417.5,1751.6,3178.5,2461.0,1929.8,1966.8,2026.1,2492.6,2561.8,3716.3,2411.9,2774.1,2401.6,3266.0,4244.4,3447.2,1954.7,2653.4,2157.1,3047.3,3029.1,2200.8,2713.7,4684.8,3950.9,1354.7,2337.1,3646.3,5357.5,3140.0,2842.3,2420.3,9308.4,9124.4,9375.0,9122.6,9327.6,9578.1,9280.4,8823.3,9049.6,9400.6,9243.3,8275.0,9397.4,9265.7,8872.4,12239.2,12273.9,12152.4,13032.9,12413.7,12834.6,12777.8,13118.8,12766.9,12254.6,13153.5,10789.1,10789.1,10326.3,10102.0,9791.2,9806.3,9416.8,9861.2,9441.2,8709.5,9255.9,9214.9,10619.3,10594.8,12617.7,13060.3
Pies Descalzos II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.2,1451.5,1538.5,1162.9,1473.0,1570.0,2623.6,2555.7,1940.0,1792.7,2293.3,2986.2,2467.7,2667.8,3694.5,3753.0,2951.2,1775.9,3367.8,3112.8,1178.5,3123.9,1444.1,2871.2,2167.5,1636.2,2010.7,1718.7,2185.1,2603.0,3422.7,2337.1,2815.3,1940.8,3505.4,4330.8,3533.5,2041.1,2739.7,2243.4,3133.6,3115.4,2060.7,2339.3,4311.9,3597.5,873.7,2016.8,3285.3,4984.5,2767.0,2481.3,2098.9,9256.9,9103.0,9323.5,9208.9,9413.9,9664.4,9366.7,8909.7,9136.0,9486.9,9329.6,8361.4,9483.8,9352.1,8958.7,11936.0,12292.9,12238.8,13119.2,12500.0,12890.6,12864.2,13205.2,12853.2,12341.0,12923.4,10485.9,10485.9,10023.2,9798.8,9488.0,9503.1,9113.6,9558.1,9138.0,8406.3,9013.9,9117.5,10932.5,10908.0,12314.6,12757.1
Málaga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.2,691.3,152.1,462.3,559.2,1863.9,3252.0,1771.4,2489.1,2975.9,3682.5,3150.2,3364.2,3698.2,3743.1,3647.4,2472.4,3357.9,3809.0,1861.1,3785.6,2140.6,3567.5,2850.0,2318.8,1998.1,2415.1,2881.6,2593.2,4096.5,2443.3,2805.5,2668.4,3396.3,4403.9,3606.7,2114.2,2812.9,2316.6,3206.7,3188.5,2360.3,2893.7,4869.2,4225.2,1737.8,2603.9,3851.8,5541.9,3406.8,3109.1,2687.1,9467.9,9283.9,9534.4,9282.1,9487.1,9737.5,9439.8,8982.8,9209.1,9560.0,9402.8,8434.5,9556.9,9425.2,9031.8,12398.7,12433.3,12311.9,13192.4,12573.2,12994.1,12937.3,13278.3,12926.3,12414.1,13313.0,10948.6,10948.6,10485.8,10261.5,9950.7,9965.8,9576.3,10020.7,9600.7,8869.0,9415.4,9374.4,10575.7,10551.2,12777.2,13219.7
Palacé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964.0,1441.3,1757.2,1852.6,3108.3,3163.1,2900.1,2536.3,3469.4,3156.9,3610.9,2843.3,4826.9,4871.9,3284.7,2202.7,4486.7,3208.3,2364.3,4309.8,2107.0,3348.2,3353.3,2822.1,3126.9,2866.6,2618.9,3721.9,4604.9,3522.9,3934.2,1933.3,2229.0,3065.4,2268.2,775.7,1474.4,978.1,1868.3,1850.1,1021.8,1555.3,3530.7,3448.8,1508.7,1868.9,2513.3,4203.4,2117.1,2374.0,1952.0,8129.4,7945.4,8196.0,7943.6,8148.6,8399.0,8101.4,7644.3,7870.6,8221.6,8064.3,7096.0,8218.4,8086.7,7693.4,11060.2,11094.9,10973.4,11853.9,11234.7,11655.6,11598.8,11939.8,11587.9,11075.6,11974.5,9610.1,9610.1,9147.3,8923.0,8612.2,8627.3,8237.8,8682.2,8262.2,7530.5,8076.9,8035.9,11815.6,11791.2,11438.7,11881.3
Museo de Antioquia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.6,229.2,132.1,1177.3,3591.7,1423.5,2833.4,2896.4,4022.2,3490.0,3708.5,3350.2,3395.2,3987.2,2816.6,3010.0,4148.8,2200.8,3437.7,2484.8,3907.2,2641.2,2024.1,1650.2,2758.3,3225.8,2245.3,3748.6,2095.4,2457.6,3058.1,3915.0,4900.9,4103.7,2611.2,3309.9,2813.6,3703.8,3685.6,2857.3,3390.8,5341.3,4614.9,2103.9,2993.6,4302.8,6014.0,3796.5,3498.8,3076.8,9965.0,9780.9,10031.5,9779.1,9984.1,10234.6,9936.9,9479.8,9706.1,10057.1,9899.8,8931.5,10053.9,9922.2,9528.9,12895.7,12930.4,12808.9,13689.4,13070.2,13491.1,13434.3,13775.3,13423.4,12911.1,13810.0,11445.6,11445.6,10982.9,10758.5,10447.7,10462.8,10073.3,10517.8,10097.7,9366.0,9912.4,9871.4,9889.1,9864.7,13274.3,13716.8
San Antonio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.8,417.7,1722.3,3254.5,1630.2,2496.1,2978.4,3684.9,3152.7,3371.3,3557.0,3602.0,3649.9,2479.4,3216.7,3811.5,1863.5,3644.4,2147.6,3569.9,2847.9,2230.8,1857.0,2421.0,2888.6,2452.0,3955.3,2302.1,2664.3,2685.0,3401.4,4420.5,3623.3,2130.8,2829.5,2333.2,3223.4,3205.1,2376.9,2910.4,4885.8,4241.8,1754.4,2620.5,3868.4,5558.5,3423.4,3125.7,2703.7,9484.5,9300.5,9551.0,9298.7,9503.7,9754.1,9456.5,8999.4,9225.7,9576.7,9419.4,8451.1,9573.5,9441.8,9048.5,12415.3,12449.9,12328.5,13209.0,12589.8,13010.7,12953.9,13294.9,12943.0,12430.7,13329.6,10965.2,10965.2,10502.4,10278.1,9967.3,9982.4,9592.9,10037.3,9617.3,8885.6,9432.0,9391.0,10434.2,10409.7,12793.8,13236.4
Parque Berrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.2,1406.0,3531.4,1415.4,2773.0,2888.3,3961.8,3429.6,3648.2,3342.2,3387.2,3926.8,2756.3,3001.9,4088.4,2140.4,3429.6,2424.5,3846.9,2633.1,2016.0,1642.2,2697.9,3165.5,2237.2,3740.5,2087.3,2449.5,2963.3,3687.6,4698.8,3901.6,2409.1,3107.8,2611.4,3501.6,3483.4,2655.2,3188.6,5164.1,4520.1,2032.7,2898.8,4146.7,5836.7,3701.7,3404.0,2982.0,9762.8,9578.8,9829.3,9576.9,9781.9,10032.4,9734.7,9277.7,9504.0,9854.9,9697.6,8729.4,9851.8,9720.1,9326.7,12693.6,12728.2,12606.8,13487.2,12868.1,13288.9,13232.2,13573.2,13221.2,12709.0,13607.9,11243.5,11243.5,10780.7,10556.4,10245.6,10260.7,9871.2,10315.6,9895.6,9163.9,9710.3,9669.2,10117.9,10093.4,13072.1,13514.6
Palacio de la Cultura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1308.8,3628.3,1491.5,2870.0,2964.5,4058.8,3526.6,3745.1,3418.3,3463.3,4023.7,2853.2,3078.1,4185.4,2237.4,3505.7,2521.4,3943.8,2709.2,2092.1,1718.3,2794.9,3262.4,2313.3,3816.7,2163.4,2525.6,3060.2,3782.9,4795.7,3998.5,2506.0,3204.7,2708.4,3598.6,3580.3,2752.1,3285.6,5261.0,4617.0,2129.6,2995.7,4243.6,5933.7,3798.6,3500.9,3078.9,9859.7,9675.7,9926.2,9673.9,9878.9,10129.3,9831.7,9374.6,9600.9,9951.9,9794.6,8826.3,9948.7,9817.0,9423.7,12790.5,12825.1,12703.7,13584.2,12965.0,13385.9,13329.1,13670.1,13318.2,12805.9,13704.8,11340.4,11340.4,10877.6,10653.3,10342.5,10357.6,9968.1,10412.5,9992.5,9260.8,9807.2,9766.2,10020.7,9996.2,13169.0,13611.6
